repo,head_sha,commit_details_available,commit_authored_at,commit_message,commit_parent_count,additions,deletions,changed_files,file_paths_json,files_truncated
ArgoProj/argo-cd,1af0be15cdd69d0b237cbaf4f9ba9440d0334ab2,1,2026-07-13T10:13:15Z,"chore(deps): bump oras.land/oras-go/v2 from 2.6.1 to 2.6.2 (#28696)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",1,3,3,2,"[""go.mod"", ""go.sum""]",0
ArgoProj/argo-cd,349e35411bd1de56224e020993d6c561f543b706,1,2026-07-09T09:16:25Z,"chore(deps): bump github/codeql-action/upload-sarif from 4.36.3 to 4.37.0 (#28635)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",1,1,1,1,"["".github/workflows/scorecard.yaml""]",0
ArgoProj/argo-cd,114cde4dd336ff398871dcb1418258d5dcae2748,1,2026-07-10T10:51:47Z,"fix: use Entra ID uti claim as token id when jti is absent (#28625) (#28656)

Signed-off-by: Akanksha Trehun <akankshatrehun@gmail.com>
Signed-off-by: Akanksha Trehun <146705736+magic-peach@users.noreply.github.com>
Co-authored-by: Nitish Kumar <justnitish06@gmail.com>",1,59,4,2,"[""util/session/sessionmanager.go"", ""util/session/sessionmanager_test.go""]",0
ArgoProj/argo-cd,244235d758fad78bd67942e9d23e55ce6f9297f7,1,2026-07-09T12:19:23Z,"test(hydrator): fix hydrator e2e tests failures when run with `make test-e2e` (#28579) (#28578)

Signed-off-by: Eugene Doudine <eugene.doudine@octopus.com>",1,1,1,1,"[""test/container/Procfile""]",0
ArgoProj/argo-cd,2aa646b934fb5b48f9c03d8dee134a8870f08b10,1,2026-07-10T12:06:23Z,"fix: use Entra ID uti claim as token id when jti is absent (#28625) (cherry-pick #28656 for 3.4) (#28676)

Signed-off-by: Akanksha Trehun <akankshatrehun@gmail.com>
Signed-off-by: Akanksha Trehun <146705736+magic-peach@users.noreply.github.com>
Co-authored-by: Akanksha Trehun <146705736+magic-peach@users.noreply.github.com>
Co-authored-by: Nitish Kumar <justnitish06@gmail.com>",1,59,4,2,"[""util/session/sessionmanager.go"", ""util/session/sessionmanager_test.go""]",0
ArgoProj/argo-cd,40931a3d3ae4979a042332f5444d83b6885b6a25,1,2026-07-10T04:13:34Z,"chore(deps): bump actions/stale from 10.3.0 to 10.4.0 (#28664)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",1,1,1,1,"["".github/workflows/stale.yaml""]",0
ArgoProj/argo-cd,3fcc10ac46b6dcb2b011e42f83430b8f69066a03,1,2026-07-13T15:20:17Z,"test: Remove t.Parallel() from test checking stderr output (#28652)

Signed-off-by: Jan Kučera <jankucera254@gmail.com>",1,0,3,1,"[""util/argo/diff/diff_test.go""]",0
ArgoProj/argo-cd,275d11ec49199ea83d6532d18a6ed6d2790150c7,1,2026-07-12T11:44:35Z,"fix: use OIDC refresh tokens to renew expired sessions (#27041, #12189) (cherry-pick #27777 for 3.4) (#28688)

Signed-off-by: ris-tlp <omarkhantlp@gmail.com>
Co-authored-by: Omar <omarkhantlp@gmail.com>",1,233,10,5,"[""docs/operator-manual/user-management/index.md"", ""server/server.go"", ""server/server_test.go"", ""util/oidc/oidc.go"", ""util/oidc/oidc_test.go""]",0
ArgoProj/argo-cd,494b13848f551707256366068b411668c844ca0d,1,2026-07-14T07:04:25Z,"chore(deps): bump the aws-sdk-v2 group with 5 updates (#28710)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",1,24,24,2,"[""go.mod"", ""go.sum""]",0
ArgoProj/argo-cd,4af7b5d899b995414cdd99d2283ed52d82753fac,1,2026-07-10T12:20:55Z,"docs: fix grammatical error in CI troubleshooting documentation (#28680)

Signed-off-by: Akanksha Trehun <akankshatrehun@gmail.com>",1,1,1,1,"[""docs/developer-guide/ci.md""]",0
ArgoProj/argo-cd,49b779344abe7245f7c8f680485d9ce8a9c90409,1,2026-07-12T11:49:52Z,"docs: fix broken sealed-secrets Helm repoURL in examples (#28683)

Signed-off-by: Nikhil Jathar <22786232+mailnike@users.noreply.github.com>",1,2,2,2,"[""docs/operator-manual/declarative-setup.md"", ""docs/user-guide/helm.md""]",0
ArgoProj/argo-cd,564b94973b284b8de98da7cee6eeade2cb941e46,1,2026-07-09T16:08:02Z,"Bump version to 3.4.5 on release-3.4 branch (#28653)

Signed-off-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>
Co-authored-by: reggie-k <19544836+reggie-k@users.noreply.github.com>",1,84,84,15,"[""VERSION"", ""manifests/base/commit-server/kustomization.yaml"", ""manifests/base/kustomization.yaml"", ""manifests/core-install-with-hydrator.yaml"", ""manifests/core-install.yaml"", ""manifests/core-install/kustomization.yaml"", ""manifests/ha/base/kustomization.yaml"", ""manifests/ha/install-with-hydrator.yaml"", ""manifests/ha/install.yaml"", ""manifests/ha/namespace-install-with-hydrator.yaml"", ""manifests/ha/namespace-install.yaml"", ""manifests/install-with-hydrator.yaml"", ""manifests/install.yaml"", ""manifests/namespace-install-with-hydrator.yaml"", ""manifests/namespace-install.yaml""]",0
ArgoProj/argo-cd,4fd5f8bd183e06541d1c644e5e0ba3bf0a0e77cd,1,2026-07-09T14:18:48Z,"fix: incorrect GitHub path in TestGitHubListReturnsRepositoryNotFoundError (#25775)

Signed-off-by: Cecil Wöbker <me@cwoebker.com>",1,2,1,2,"[""USERS.md"", ""applicationset/services/pull_request/github_test.go""]",0
ArgoProj/argo-cd,55cf4ce7d8cf8e3ede2692985254a7996ef9f144,1,2026-07-10T11:17:40Z,"docs: fix typos in documentation and CI stale workflow (#28672)

Signed-off-by: Akanksha Trehun <akankshatrehun@gmail.com>",1,3,3,3,"["".github/workflows/stale.yaml"", ""docs/proposals/proxy-extensions.md"", ""docs/user-guide/helm.md""]",0
ArgoProj/argo-cd,523ae9d9d26142e391e27d3fb61828a5b93bca9b,1,2026-07-12T11:04:35Z,"fix: use OIDC refresh tokens to renew expired sessions (#27041, #12189) (#27777)

Signed-off-by: ris-tlp <omarkhantlp@gmail.com>",1,233,10,5,"[""docs/operator-manual/user-management/index.md"", ""server/server.go"", ""server/server_test.go"", ""util/oidc/oidc.go"", ""util/oidc/oidc_test.go""]",0
ArgoProj/argo-cd,5c1b9303eb2e6397146182260ff7947ad1afabd1,1,2026-07-10T10:01:16Z,"fix(progressivesync): check if error == notfound (cherry-pick #28663 for 3.5) (#28670)

Signed-off-by: Blake Pettersson <blake.pettersson@gmail.com>
Co-authored-by: Blake Pettersson <blake.pettersson@gmail.com>",1,119,2,4,"[""applicationset/progressivesync/progressive_sync.go"", ""applicationset/progressivesync/progressive_sync_test.go"", ""applicationset/utils/client.go"", ""applicationset/utils/client_test.go""]",0
ArgoProj/argo-cd,648e73e99e96a4a04f312beaf9e2397645d55ff0,1,2026-07-09T08:21:47Z,"chore(deps): bump actions/checkout from 6.0.2 to 7.0.0 (#28637)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",1,1,1,1,"["".github/workflows/zizmor.yaml""]",0
ArgoProj/argo-cd,7a1da579b8f7bc07d671d23b341d67ee958fcf2e,1,2026-07-14T07:43:13Z,"ci: harden gitops-engine tag step to use GITHUB_REF_NAME (#28706)

Signed-off-by: RealFakeAccount <63186767+RealFakeAccount@users.noreply.github.com>",1,2,2,1,"["".github/workflows/release.yaml""]",0
ArgoProj/argo-cd,8c38a6a680f9c28a2a46717d6f3b653e4aa7f1b2,1,2026-07-14T10:40:30Z,"fix(ui): vertical alignment of application tile content (#28412)

Signed-off-by: choejwoo <jaewoo45@gmail.com>",1,2,1,2,"[""ui/src/app/applications/components/applications-list/applications-list.scss"", ""ui/src/app/applications/components/applications-list/applications-tiles.scss""]",0
ArgoProj/argo-cd,6774c9aef2b3cfd08343be8fde202cedcc76d9f3,1,2026-07-10T10:58:48Z,"docs: fix typos and grammar in documentation (#28673)

Signed-off-by: Akanksha Trehun <akankshatrehun@gmail.com>",1,3,3,2,"[""docs/proposals/proxy-extensions.md"", ""docs/security_considerations.md""]",0
ArgoProj/argo-cd,7043070e5fe69cedc58cea60a1b3659898faf573,1,2026-07-13T12:16:27Z,"chore: fix typos in code comments and documentation (#28682)

Signed-off-by: Akanksha Trehun <akankshatrehun@gmail.com>
Signed-off-by: Nitish Kumar <justnitish06@gmail.com>
Co-authored-by: Nitish Kumar <justnitish06@gmail.com>",1,6,6,6,"[""docs/proposals/attach-debug-containers.md"", ""hack/gen-resources/generators/cluster_generator.go"", ""test/e2e/fixture/applicationsets/expectation.go"", ""util/git/creds_test.go"", ""util/oidc/oidc.go"", ""util/settings/settings_test.go""]",0
ArgoProj/argo-cd,7cde9f43784e956bb69b304ddeaf0e9f7b1f64dd,1,2026-07-12T11:43:58Z,"fix: use OIDC refresh tokens to renew expired sessions (#27041, #12189) (cherry-pick #27777 for 3.5) (#28689)

Signed-off-by: ris-tlp <omarkhantlp@gmail.com>
Co-authored-by: Omar <omarkhantlp@gmail.com>",1,233,10,5,"[""docs/operator-manual/user-management/index.md"", ""server/server.go"", ""server/server_test.go"", ""util/oidc/oidc.go"", ""util/oidc/oidc_test.go""]",0
ArgoProj/argo-cd,8b9adadb4146c5e02e0a41a9fe39b43672907aef,1,2026-07-13T09:07:05Z,"chore(deps): bump renovatebot/github-action from 46.1.18 to 46.1.19 (#28697)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",1,1,1,1,"["".github/workflows/renovate.yaml""]",0
ArgoProj/argo-cd,79e1229469403a4e9cbab5043f9128948711a330,1,2026-07-10T17:28:59Z,"feat: add which resources caused the app health to change (#28455)

Signed-off-by: Alexandre Gaudreault <alexandre_gaudreault@intuit.com>",1,282,72,17,"[""assets/swagger.json"", ""controller/appcontroller.go"", ""controller/appcontroller_test.go"", ""controller/health.go"", ""controller/health_test.go"", ""controller/state.go"", ""docs/operator-manual/upgrading/3.5-3.6.md"", ""manifests/core-install-with-hydrator.yaml"", ""manifests/core-install.yaml"", ""manifests/crds/application-crd.yaml"", ""manifests/ha/install-with-hydrator.yaml"", ""manifests/ha/install.yaml"", ""manifests/install-with-hydrator.yaml"", ""manifests/install.yaml"", ""mkdocs.yml"", ""pkg/apis/application/v1alpha1/generated.proto"", ""pkg/apis/application/v1alpha1/types.go""]",0
ArgoProj/argo-cd,992d6878054ad37d212ae29245e12ccdc12dfe2e,1,2026-07-12T11:47:51Z,"fix: correct variable expansion in Makefile and typo in .snyk (#28674)

Signed-off-by: Akanksha Trehun <akankshatrehun@gmail.com>",1,2,2,2,"["".snyk"", ""Makefile""]",0
ArgoProj/argo-cd,abe9a37fbea70f99569df7959d149824762827d8,1,2026-07-10T13:19:14Z,"docs: fix missing word in SECURITY.md vulnerability reporting instructions (#28679)

Signed-off-by: Akanksha Trehun <akankshatrehun@gmail.com>",1,1,1,1,"[""SECURITY.md""]",0
ArgoProj/argo-cd,b1a0e3d782beb0a6cf47968f4675b4bc684c7da5,1,2026-07-13T21:22:44Z,"fix(repo-server): honor `ARGOCD_REPO_SERVER_OTLP_HEADERS` in repo-server (#28698)

Signed-off-by: nitishfy <justnitish06@gmail.com>",1,28,1,3,"[""cmd/argocd-repo-server/commands/argocd_repo_server.go"", ""cmd/argocd-repo-server/commands/argocd_repo_server_test.go"", ""docs/operator-manual/upgrading/3.5-3.6.md""]",0
ArgoProj/argo-cd,aeda334c73e682fa2ea0ea0b0a93766e9ebf42a8,1,2026-07-10T09:06:52Z,"fix(progressivesync): check if error == notfound (#28663)

Signed-off-by: Blake Pettersson <blake.pettersson@gmail.com>",1,119,2,4,"[""applicationset/progressivesync/progressive_sync.go"", ""applicationset/progressivesync/progressive_sync_test.go"", ""applicationset/utils/client.go"", ""applicationset/utils/client_test.go""]",0
ArgoProj/argo-cd,a82e158db8a56037d8e8b5085d188abd9fba12f0,1,2026-06-30T05:59:37Z,"fix: don't clobber non-ignored fields on ""replace"" (cherry-pick #27136 for 3.4) (#28507)

Signed-off-by: Blake Pettersson <blake.pettersson@gmail.com>
Co-authored-by: Blake Pettersson <blake.pettersson@gmail.com>",1,267,2,5,"[""controller/sync.go"", ""controller/sync_test.go"", ""controller/testdata/data.go"", ""controller/testdata/live-pdb.yaml"", ""controller/testdata/target-pdb.yaml""]",0
ArgoProj/argo-cd,d8bad8aab63b2feb81ca2b1773035116cc9360eb,1,2026-07-14T07:03:30Z,"chore(deps): bump actions/setup-node from 6.4.0 to 7.0.0 (#28709)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",1,2,2,1,"["".github/workflows/ci-build.yaml""]",0
ArgoProj/argo-cd,dcdf8e4026450611d23077271705a44a9f21d10b,1,2026-07-14T11:09:37Z,"feat: add clear all button to ApplicationSet filters (#28593)

Signed-off-by: choejwoo <jaewoo45@gmail.com>",1,9,1,1,"[""ui/src/app/applications/components/applications-list/applications-filter.tsx""]",0
ArgoProj/argo-cd,dcf03494eff98102a44ea10f1a66d80b8644b948,1,2026-07-14T10:40:50Z,"fix(UI): display sync option dropdowns on separate lines (#28438)

Signed-off-by: Aditya Raj <adityaraj10600@gmail.com>
Co-authored-by: Nitish Kumar <justnitish06@gmail.com>
Co-authored-by: Pasha Kostohrys <pasha.kostohrys@gmail.com>",1,1,1,1,"[""ui/src/app/applications/components/application-sync-options/application-sync-options.tsx""]",0
ansible/ansible,31b3cc35e6b35fdb80feecd1d4b3422f400fa07a,1,2026-06-05T17:15:42Z,"Drop Python 3.12 controller support (#87057)

* Drop Python 3.12 controller support

* Remove obsolete code

* Remove obsolete centos6 test code

* Skip tests on unsupported platforms

* Work around lack of Alpine controller support in tests",1,46,125,18,"["".azure-pipelines/azure-pipelines.yml"", ""changelogs/fragments/python-support.yml"", ""lib/ansible/cli/__init__.py"", ""lib/ansible/cli/_ssh_askpass.py"", ""lib/ansible/config/base.yml"", ""lib/ansible/plugins/connection/local.py"", ""lib/ansible/plugins/connection/ssh.py"", ""lib/ansible/utils/display.py"", ""lib/ansible/utils/encrypt.py"", ""pyproject.toml"", ""test/integration/targets/ansible-test-container/runme.py"", ""test/lib/ansible_test/_data/completion/remote.txt"", ""test/lib/ansible_test/_util/target/common/constants.py"", ""test/lib/ansible_test/_util/target/setup/bootstrap.sh"", ""test/sanity/ignore.txt"", ""test/units/plugins/lookup/test_password.py"", ""test/units/requirements.txt"", ""test/units/utils/test_encrypt.py""]",0
ansible/ansible,305ead513094b8db7dbe206421ae26826adbf329,1,2026-06-27T15:45:00Z,"integration test unarchive: Only install language pack on Ubuntu (#87130)

The language packs are an Ubuntu-specific packaging. On Debian systems
(and derivatives) these packages don't exist and the language files are
installed by default with the package (as confirmed with `apt-file
search tar.mo`)",1,2,1,1,"[""test/integration/targets/unarchive/tasks/test_different_language_var.yml""]",0
ArgoProj/argo-cd,e2b719ad65d7b09002e0b17b8f1bdf8640c6e7e8,1,2026-07-13T17:51:52Z,"feat(otel): add spans with configurable sampling (#28396)

Signed-off-by: Blake Pettersson <blake.pettersson@gmail.com>",1,741,166,44,"[""cmd/argocd-application-controller/commands/argocd_application_controller.go"", ""cmd/argocd-cmp-server/commands/argocd_cmp_server.go"", ""cmd/argocd-repo-server/commands/argocd_repo_server.go"", ""cmd/argocd-server/commands/argocd_server.go"", ""controller/appcontroller.go"", ""controller/appcontroller_test.go"", ""controller/hook.go"", ""controller/hydrator/hydrator.go"", ""controller/hydrator_dependencies.go"", ""controller/state.go"", ""controller/sync.go"", ""docs/operator-manual/argocd-cmd-params-cm.yaml"", ""docs/operator-manual/server-commands/argocd-application-controller.md"", ""docs/operator-manual/server-commands/argocd-repo-server.md"", ""docs/operator-manual/server-commands/argocd-server.md"", ""docs/operator-manual/upgrading/3.5-3.6.md"", ""gitops-engine/go.mod"", ""gitops-engine/go.sum"", ""gitops-engine/pkg/sync/sync_context.go"", ""manifests/base/application-controller-deployment/argocd-application-controller-deployment.yaml"", ""manifests/base/application-controller/argocd-application-controller-statefulset.yaml"", ""manifests/base/repo-server/argocd-repo-server-deployment.yaml"", ""manifests/base/server/argocd-server-deployment.yaml"", ""manifests/core-install-with-hydrator.yaml"", ""manifests/core-install.yaml"", ""manifests/ha/install-with-hydrator.yaml"", ""manifests/ha/install.yaml"", ""manifests/ha/namespace-install-with-hydrator.yaml"", ""manifests/ha/namespace-install.yaml"", ""manifests/install-with-hydrator.yaml"", ""manifests/install.yaml"", ""manifests/namespace-install-with-hydrator.yaml"", ""manifests/namespace-install.yaml"", ""reposerver/repository/repository.go"", ""util/argo/argo.go"", ""util/cli/cli.go"", ""util/cli/cli_test.go"", ""util/db/repository.go"", ""util/db/repository_secrets.go"", ""util/git/client.go"", ""util/git/creds.go"", ""util/git/git.go"", ""util/git/git_test.go"", ""util/trace/trace.go""]",0
ArgoProj/argo-cd,df18a45d3c307cd5fa3e4b6aed85d2030c2c1a42,1,2026-07-09T16:40:34Z,"chore(ci): dependabot groups for golang.org/x and codeql (#28651)

Signed-off-by: Michael Crenshaw <350466+crenshaw-dev@users.noreply.github.com>",1,7,0,1,"["".github/dependabot.yml""]",0
